fecha_despacho,mes_despacho,dia_semana,remitente,id_unidad,franja_horaria,codigo_nodo_entrada,nombre_nodo_entrada,ciudad_entrada,departamento_entrada,codigo_nodo_salida,nombre_nodo_salida,ciudad_salida,departamento_salida,desbalance_entrada,tipo_desbalance_entrada,marca_desbalance_entrada,marca_final_desbalance_entrada,desbalance_salida,tipo_desbalance_salida,marca_desbalance_salida,marca_final_desbalance_salida,duracion_transito,tipo_tramo,desbalance_operacional,desbalance_clima,desbalance_sistema,desbalance_integridad,desbalance_aguas_arriba,otro_desbalance,marca_desbalance_operacional,marca_desbalance_clima,marca_desbalance_sistema,marca_desbalance_integridad,marca_desbalance_aguas_arriba,marca_otro_desbalance,fabricante,modelo,antiguedad_unidad,interrumpido,reenrutado
2023-11-05,11,1,Gases del Caribe,CE9610,Madrugada,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,SIN,Estación Sincelejo,"Sincelejo, SUC",SUC,26,Medio >15,true,true,32,Medio >15,true,true,412,Regional 100-300Km,18,0,3,2,4,32,1,0,1,1,1,0,Solar Turbines,Taurus 60,25,false,false
2023-01-22,1,1,Gasnacer,CE3579,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,2,Bajo <15,true,false,50,Medio >15,true,true,637,Troncal >300Km,10,10,9,5,1,50,1,1,1,1,0,0,Siemens,Taurus 60,20,false,false
2023-03-10,3,6,Surtigas,CE3701,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,13,Bajo <15,true,false,35,Medio >15,true,true,367,Ramal <100Km,8,0,15,14,1,,1,0,1,1,0,1,GE Oil & Gas,Taurus 60,13,false,false
2023-09-21,9,5,Gases de la Guajira,CE7497,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,VDP,Estación Valledupar,"Valledupar, CES",CES,19,Medio >15,true,true,26,Medio >15,true,true,631,Regional 100-300Km,8,0,7,2,3,26,1,0,1,1,1,0,GE Oil & Gas,C15,14,false,false
2023-03-24,3,6,Surtigas,CE0734,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,17,Medio >15,true,true,32,Medio >15,true,true,399,Troncal >300Km,5,12,9,13,4,,1,1,1,1,1,1,Solar Turbines,Mars 100,14,false,false
2023-10-14,10,7,Efigas,CE7398,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,SIN,Estación Sincelejo,"Sincelejo, SUC",SUC,44,Medio >15,true,true,17,Medio >15,true,true,494,Regional 100-300Km,2,5,6,1,5,,1,1,1,0,1,1,Siemens,Centaur 40,19,false,false
2023-05-28,5,1,Efigas,CE2624,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,49,Medio >15,true,true,62,Alto >60,true,true,332,Ramal <100Km,7,0,0,36,16,62,1,0,0,1,1,0,GE Oil & Gas,C15,8,false,false
2023-06-25,6,1,Gases del Caribe,CE2425,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,43,Medio >15,true,true,67,Alto >60,true,true,474,,14,7,18,12,27,,1,1,1,1,1,1,GE Oil & Gas,Centaur 40,18,false,false
2023-01-17,1,3,Gases de la Guajira,CE8845,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,25,Medio >15,true,true,68,Alto >60,true,true,368,Regional 100-300Km,11,9,3,6,18,68,1,1,1,1,1,0,Solar Turbines,C15,0,false,false
2023-10-16,10,2,Gases de la Guajira,CE4896,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,24,Medio >15,true,true,59,Medio >15,true,true,171,Ramal <100Km,12,0,19,17,11,,1,0,1,1,1,0,Siemens,Mars 100,15,false,false
2023-07-28,7,6,Gasnacer,CE4262,Tarde,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MTR,Estación Montería,"Montería, COR",COR,52,Medio >15,true,true,45,Medio >15,true,true,374,Ramal <100Km,20,6,9,0,15,,1,1,1,0,1,1,GE Oil & Gas,Taurus 60,11,false,false
2023-08-17,8,5,Surtigas,CE6745,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,CTG,Estación Cartagena,"Cartagena, BOL",BOL,12,Bajo <15,true,false,54,Medio >15,true,true,216,Regional 100-300Km,0,8,22,20,16,,0,1,1,1,1,1,Solar Turbines,Taurus 60,0,false,false
2023-05-01,5,2,Surtigas,CE0429,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,CTG,Estación Cartagena,"Cartagena, BOL",BOL,17,Medio >15,true,true,51,Medio >15,true,true,417,Regional 100-300Km,11,0,0,18,17,51,1,0,0,1,1,0,Caterpillar,Taurus 60,13,false,false
2023-05-27,5,7,Surtigas,CE4514,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,46,Medio >15,true,true,31,Medio >15,true,true,542,Ramal <100Km,1,8,13,1,7,31,0,1,1,0,1,0,Caterpillar,Taurus 60,29,false,false
2023-01-27,1,6,Gases del Caribe,CE0982,Tarde,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,VDP,Estación Valledupar,"Valledupar, CES",CES,35,Medio >15,true,true,61,Alto >60,true,true,66,,2,2,0,34,6,61,1,1,0,1,1,0,Caterpillar,C15,18,false,false
2023-02-28,2,3,Efigas,CE2412,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,RIO,Estación Riohacha,"Riohacha, LAG",LAG,29,Medio >15,true,true,54,Medio >15,true,true,562,Regional 100-300Km,1,29,12,2,13,,0,1,1,1,1,1,Solar Turbines,Taurus 60,6,false,false
2023-10-12,10,5,Surtigas,CE4801,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,RIO,Estación Riohacha,"Riohacha, LAG",LAG,26,Medio >15,true,true,113,Alto >60,true,true,363,Troncal >300Km,36,0,9,17,21,113,1,0,1,1,1,0,Solar Turbines,Taurus 60,17,false,false
2023-05-03,5,4,Gases del Caribe,CE6909,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,VDP,Estación Valledupar,"Valledupar, CES",CES,51,Medio >15,true,true,42,Medio >15,true,true,131,Ramal <100Km,0,14,10,6,2,42,0,1,1,1,1,0,Caterpillar,C15,23,false,false
2023-05-24,5,4,Gases del Caribe,CE5158,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,VDP,Estación Valledupar,"Valledupar, CES",CES,-13,Sin desbalance en entrada,false,false,23,Medio >15,true,true,451,Troncal >300Km,0,1,6,3,17,,0,0,1,1,1,1,Solar Turbines,Mars 100,23,false,false
2023-01-26,1,5,Gases del Caribe,CE1581,Tarde,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,CTG,Estación Cartagena,"Cartagena, BOL",BOL,27,Medio >15,true,true,38,Medio >15,true,true,563,Troncal >300Km,5,0,7,11,7,38,1,0,1,1,1,0,Siemens,Mars 100,6,false,false
2023-08-20,8,1,Gases de la Guajira,CE4630,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,23,Medio >15,true,true,64,Alto >60,true,true,464,Ramal <100Km,6,15,3,19,7,64,1,1,1,1,1,0,Caterpillar,C15,7,false,false
2023-09-10,9,1,Efigas,CE8574,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MTR,Estación Montería,"Montería, COR",COR,-6,Sin desbalance en entrada,false,false,76,Alto >60,true,true,273,Troncal >300Km,27,1,4,16,23,76,1,0,1,1,1,0,Caterpillar,Mars 100,18,false,false
2023-07-16,7,1,Gases del Caribe,CE2817,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,29,Medio >15,true,true,58,Medio >15,true,true,334,Regional 100-300Km,3,1,36,0,14,58,1,0,1,0,1,0,Solar Turbines,Mars 100,9,false,false
