fecha,temp_prom,temp_min,temp_max,precipitacion,humedad,dir_viento,vel_viento,presion,id_nodo
2023-01-01,28.8,24.7,33.9,0.4,74.9,84.0,12.1,1007.3,BALLE
2023-01-02,27.5,24.8,33.4,0.1,67.0,78.0,18.2,1010.3,JOBO
2023-01-03,27.8,24.4,32.2,7.0,78.9,98.0,16.4,1011.5,BAQ
2023-01-04,29.6,24.9,33.6,18.5,69.3,87.0,25.0,1009.5,CTG
2023-01-05,27.3,23.5,34.2,7.9,60.1,24.0,9.7,1008.0,STM
2023-01-06,29.4,23.4,33.2,7.3,74.4,181.0,8.5,1008.4,SIN
2023-01-07,28.5,24.1,33.8,0.7,67.8,166.0,21.7,1008.9,MTR
2023-01-08,29.6,23.5,33.5,0.4,75.7,56.0,18.8,1008.5,VDP
2023-01-09,29.8,24.0,33.3,14.3,72.2,213.0,12.3,1007.7,RIO
2023-01-10,27.4,23.6,34.5,6.5,57.9,318.0,6.1,1010.8,MAM
2023-01-11,27.7,24.1,32.5,17.2,61.6,177.0,23.3,1007.0,BALLE
2023-01-12,29.8,24.0,34.3,1.1,77.1,216.0,12.8,1006.4,JOBO
2023-01-13,27.5,24.4,34.6,9.4,69.0,132.0,17.7,1007.1,BAQ
2023-01-14,29.6,25.0,33.5,12.0,74.1,96.0,18.9,1006.6,CTG
2023-01-15,29.1,23.8,33.7,6.5,69.2,71.0,15.4,1005.6,STM
2023-01-16,27.4,25.3,35.2,17.8,67.4,332.0,22.8,1008.6,SIN
2023-01-17,29.7,24.5,34.8,16.9,64.7,195.0,8.7,1007.3,MTR
2023-01-18,30.1,24.6,34.0,29.4,73.1,265.0,9.5,1009.9,VDP
2023-01-19,28.8,24.6,35.0,19.4,70.2,281.0,20.8,1005.0,RIO
2023-01-20,29.5,24.1,34.4,23.9,66.4,11.0,12.4,1004.1,MAM
2023-01-21,28.0,24.7,33.3,11.3,70.1,45.0,21.7,1005.5,BALLE
2023-01-22,28.2,24.3,34.9,1.4,70.3,50.0,18.5,1011.6,JOBO
2023-01-23,29.5,25.4,35.0,9.9,62.5,185.0,8.2,1010.3,BAQ
2023-01-24,29.9,24.7,35.2,3.4,68.4,51.0,22.6,1009.8,CTG
2023-01-25,29.0,25.1,32.9,25.4,71.7,38.0,8.3,1008.9,STM
2023-01-26,30.2,24.1,33.1,9.5,63.7,133.0,6.9,1008.7,SIN
2023-01-27,30.0,25.3,34.1,1.9,64.0,103.0,21.2,1010.5,MTR
2023-01-28,28.1,24.9,34.0,21.0,68.5,95.0,14.9,1006.1,VDP
2023-01-29,29.1,24.5,33.3,0.9,69.5,300.0,5.9,1006.2,RIO
2023-01-30,28.7,25.7,34.5,1.6,58.8,180.0,16.6,1008.4,MAM
2023-01-31,28.7,25.8,34.4,13.3,63.7,267.0,7.7,1010.0,BALLE
2023-02-01,30.8,24.9,34.4,5.6,61.7,347.0,9.1,1008.9,JOBO
2023-02-02,30.2,25.7,34.6,5.6,81.7,155.0,20.9,1007.3,BAQ
2023-02-03,30.6,24.3,36.1,5.5,64.3,137.0,9.0,1007.4,CTG
2023-02-04,30.3,25.7,35.8,21.5,71.0,346.0,5.9,1011.5,STM
2023-02-05,30.6,24.7,35.4,31.6,82.4,123.0,15.9,1010.3,SIN
2023-02-06,30.8,25.1,33.6,27.9,67.2,152.0,19.0,1010.0,MTR
2023-02-07,29.4,25.1,35.3,18.1,59.0,262.0,8.8,1004.2,VDP
2023-02-08,30.5,26.2,35.2,4.6,57.9,203.0,24.2,1011.9,RIO
2023-02-09,31.2,25.3,35.7,13.9,59.4,79.0,13.5,1011.2,MAM
2023-02-10,31.3,26.2,35.5,2.3,62.8,244.0,18.2,1010.8,BALLE
2023-02-11,31.2,25.5,34.9,3.2,68.4,258.0,23.6,1008.1,JOBO
2023-02-12,30.6,24.7,33.7,3.4,60.0,35.0,17.6,1004.1,BAQ
2023-02-13,28.6,25.4,36.5,0.2,71.2,335.0,11.6,1006.1,CTG
2023-02-14,31.5,25.1,34.1,17.3,76.3,301.0,18.9,1009.0,STM
2023-02-15,30.0,26.4,34.3,3.8,64.5,220.0,8.2,1010.7,SIN
2023-02-16,28.8,25.2,34.4,2.4,69.0,342.0,23.3,1009.7,MTR
2023-02-17,29.0,25.0,34.5,3.0,79.9,280.0,7.2,1011.3,VDP
2023-02-18,30.7,26.0,36.2,17.6,79.7,163.0,21.0,1007.2,RIO
2023-02-19,28.9,24.6,35.5,2.7,72.7,58.0,7.1,1008.8,MAM
2023-02-20,29.0,24.6,36.2,0.6,77.5,141.0,5.9,1007.9,BALLE
2023-02-21,31.8,24.9,35.0,12.9,67.0,357.0,17.9,1009.7,JOBO
2023-02-22,31.9,25.6,35.7,5.8,81.8,131.0,14.5,1010.3,BAQ
2023-02-23,31.4,26.5,36.0,5.8,75.9,310.0,22.3,1007.2,CTG
2023-02-24,29.3,26.2,34.2,2.7,81.2,359.0,15.8,1007.2,STM
2023-02-25,29.4,24.8,36.6,0.7,67.8,66.0,23.8,1007.6,SIN
2023-02-26,31.0,26.6,34.9,18.0,61.0,15.0,16.7,1007.8,MTR
2023-02-27,30.7,25.2,36.5,16.0,59.2,327.0,17.9,1007.6,VDP
2023-02-28,29.6,25.6,34.2,13.5,64.0,177.0,6.6,1009.6,RIO
2023-03-01,29.6,25.7,36.4,6.2,58.9,100.0,23.3,1004.8,MAM
2023-03-02,29.8,26.2,36.2,13.8,68.1,272.0,15.2,1004.8,BALLE
2023-03-03,31.0,24.8,36.0,8.3,62.3,152.0,21.3,1009.5,JOBO
2023-03-04,31.1,26.5,36.4,15.7,78.3,17.0,10.9,1006.2,BAQ
2023-03-05,32.1,24.9,37.1,4.7,65.8,76.0,19.2,1010.3,CTG
2023-03-06,30.1,25.8,37.0,9.5,64.1,140.0,13.4,1008.5,STM
2023-03-07,30.7,25.7,35.7,0.0,81.6,219.0,5.8,1009.9,SIN
2023-03-08,30.4,26.7,35.2,0.5,67.7,228.0,18.9,1008.7,MTR
2023-03-09,30.3,26.2,34.7,14.1,61.8,351.0,8.4,1009.8,VDP
2023-03-10,30.2,24.9,36.8,1.0,77.8,178.0,13.5,1004.2,RIO
2023-03-11,29.7,25.9,34.7,6.8,71.9,89.0,16.9,1007.3,MAM
2023-03-12,30.7,26.6,35.9,0.7,61.4,69.0,7.6,1011.3,BALLE
2023-03-13,32.2,25.7,36.4,0.9,65.1,111.0,20.4,1005.6,JOBO
2023-03-14,30.6,26.8,35.6,25.7,78.7,150.0,20.0,1004.6,BAQ
2023-03-15,31.5,26.4,34.9,0.4,71.7,140.0,5.6,1004.2,CTG
2023-03-16,30.0,26.3,35.9,1.6,67.9,355.0,13.6,1006.4,STM
2023-03-17,31.9,26.4,34.5,1.9,72.6,293.0,14.8,1011.6,SIN
2023-03-18,31.4,25.2,36.7,4.1,80.8,274.0,13.7,1006.2,MTR
2023-03-19,30.9,25.3,36.2,16.7,68.7,241.0,12.4,1005.9,VDP
2023-03-20,29.9,25.3,36.5,8.4,65.5,56.0,16.2,1004.5,RIO
2023-03-21,29.5,25.5,35.7,0.4,64.8,33.0,6.6,1004.1,MAM
2023-03-22,29.8,26.6,36.3,31.3,69.0,190.0,5.5,1009.8,BALLE
2023-03-23,32.1,25.7,37.3,10.0,65.3,61.0,24.8,1009.3,JOBO
2023-03-24,31.5,26.7,35.5,0.3,72.8,58.0,7.0,1009.1,BAQ
2023-03-25,31.3,26.4,37.3,8.7,61.9,25.0,16.2,1009.6,CTG
2023-03-26,30.0,25.6,35.1,2.3,59.7,71.0,11.3,1006.1,STM
2023-03-27,30.2,25.2,36.6,1.0,71.6,313.0,22.7,1008.2,SIN
2023-03-28,31.2,26.7,36.8,4.8,71.8,329.0,16.1,1005.0,MTR
2023-03-29,32.2,26.0,36.3,5.9,67.2,278.0,16.1,1005.9,VDP
2023-03-30,31.4,26.9,36.5,23.2,80.7,171.0,24.5,1007.4,RIO
2023-03-31,31.8,25.4,37.0,26.6,79.6,197.0,13.4,1010.8,MAM
2023-04-01,31.5,25.3,35.3,17.3,65.2,129.0,7.3,1007.0,BALLE
2023-04-02,29.5,26.0,34.8,7.2,62.2,251.0,16.4,1010.2,JOBO
2023-04-03,31.3,25.2,34.7,5.1,60.8,177.0,10.3,1006.0,BAQ
2023-04-04,31.8,26.3,36.5,0.9,79.0,151.0,5.8,1009.9,CTG
2023-04-05,30.5,25.0,35.8,2.3,76.1,280.0,23.6,1004.2,STM
2023-04-06,31.9,25.4,34.7,9.0,78.9,288.0,10.4,1007.9,SIN
2023-04-07,32.4,26.4,37.2,2.8,75.9,59.0,8.7,1006.0,MTR
2023-04-08,32.4,26.3,34.8,8.1,64.0,151.0,11.3,1005.1,VDP
2023-04-09,31.7,25.7,35.3,2.1,81.2,195.0,15.9,1005.0,RIO
2023-04-10,29.6,26.7,34.6,0.7,78.6,346.0,23.8,1007.4,MAM
2023-04-11,31.4,25.3,34.7,11.2,59.6,263.0,18.6,1011.3,BALLE
2023-04-12,29.6,26.1,36.0,8.6,60.7,283.0,12.6,1007.0,JOBO
2023-04-13,30.5,25.6,35.2,18.1,61.6,91.0,19.9,1009.9,BAQ
2023-04-14,29.9,25.5,36.0,3.1,61.6,161.0,17.2,1008.4,CTG
2023-04-15,29.6,25.9,35.4,2.3,62.1,53.0,12.5,1005.9,STM
2023-04-16,32.1,25.5,34.9,1.4,71.2,210.0,6.8,1011.3,SIN
2023-04-17,30.6,26.8,35.5,22.9,66.7,314.0,14.4,1009.4,MTR
2023-04-18,31.2,25.4,34.9,0.1,75.4,51.0,13.0,1008.2,VDP
2023-04-19,30.6,25.6,36.2,0.1,76.6,170.0,15.2,1011.3,RIO
2023-04-20,31.0,25.3,35.9,17.4,68.1,353.0,21.7,1004.3,MAM
