fuente,fecha_despacho,dia_semana,remitente,id_unidad,nodo_entrada,ciudad_entrada,franja_horaria,desbalance_entrada,marca_desbalance_entrada,tipo_desbalance_entrada,nodo_salida,ciudad_salida,desbalance_salida,tipo_desbalance_salida,duracion_transito,tipo_tramo,desbalance_operacional,desbalance_clima,desbalance_sistema,desbalance_integridad,desbalance_aguas_arriba,fabricante,modelo,antiguedad_unidd
gas_flows_1,2023-01-01,1,Gases de la Guajira,CE3408,JOBO,"Sahagún, COR",Madrugada,20,true,,MAM,"Cartagena, BOL",68,,153,regional sur,2,4,24,0,16,Caterpillar,C15,27
gas_flows_1,2023-01-02,2,Gases de la Guajira,CE4055,JOBO,"Sahagún, COR",Mañana,2,true,,VDP,"Valledupar, CES",60,,62,Troncal principal,1,1,4,23,26,Solar Turbines,Mars 100,15
gas_flows_1,2023-01-03,3,Surtigas,CE0714,JOBO,"Sahagún, COR",Mañana,-10,false,,BAQ,"Barranquilla, ATL",45,,554,Regional Sabanas,3,1,2,10,20,Caterpillar,C15,19
gas_flows_1,2023-01-04,4,Gases del Caribe,CE2388,JOBO,"Sahagún, COR",Noche,9,true,,STM,"Santa Marta, MAG",68,,168,Regional Sabanas,4,30,15,2,2,Siemens,Taurus 60,1
gas_flows_1,2023-01-05,5,Surtigas,CE1032,BALLE,"Manaure, LAG",Mañana,31,true,,BAQ,"Barranquilla, ATL",77,,320,ductos varios,2,19,6,14,13,Siemens,Mars 100,15
gas_flows_1,2023-01-06,6,Gases de la Guajira,CE5040,BALLE,"Manaure, LAG",Noche,25,true,,STM,"Santa Marta, MAG",66,,484,RAMAL urbano,11,2,20,13,15,Siemens,Taurus 60,10
gas_flows_1,2023-01-07,7,Gases de la Guajira,CE4282,JOBO,"Sahagún, COR",Tarde,-7,false,,SIN,"Sincelejo, SUC",27,,295,Troncal principal,4,7,0,11,13,GE Oil & Gas,Mars 100,26
gas_flows_1,2023-01-08,1,Surtigas,CE6577,JOBO,"Sahagún, COR",Madrugada,31,true,,,"Cartagena, BOL",13,,199,Troncal principal,1,1,3,5,2,Solar Turbines,C15,9
gas_flows_1,2023-01-09,2,Gasnacer,CE1,JOBO,"Sahagún, COR",Noche,54,true,,CTG,"Cartagena, BOL",73,,592,ductos varios,12,7,26,15,5,Solar Turbines,Taurus 60,4
gas_flows_1,2023-01-10,3,Surtigas,CE7311,JOBO,"Sahagún, COR",Mañana,6,true,,CTG,"Cartagena, BOL",29,,273,RAMAL urbano,0,1,4,4,18,Caterpillar,Centaur 40,2
gas_flows_1,2023-01-11,4,Gasnacer,CE6670,BALLE,"Manaure, LAG",Tarde,46,true,,MTR,"Montería, COR",41,,170,ductos varios,23,0,7,0,1,GE Oil & Gas,Taurus 60,3
gas_flows_1,2023-01-12,5,Efigas,CE1502,JOBO,"Sahagún, COR",Mañana,24,true,,VDP,"Valledupar, CES",77,,313,Troncal principal,19,1,12,2,26,GE Oil & Gas,Centaur 40,12
gas_flows_1,2023-01-13,6,Gases del Caribe,CE1818,JOBO,"Sahagún, COR",Tarde,60,true,,MTR,"Montería, COR",28,,197,Troncal principal,19,0,12,4,1,Solar Turbines,Taurus 60,29
gas_flows_1,2023-01-14,7,Gasnacer,CE4870,BALLE,"Manaure, LAG",Noche,22,true,,CTG,"Cartagena, BOL",67,,502,Ramal industrial,0,28,3,36,4,Siemens,Centaur 40,11
gas_flows_1,2023-01-15,1,Gasnacer,CE5394,JOBO,"Sahagún, COR",Tarde,-7,false,,VDP,"Valledupar, CES",39,,421,ductos varios,0,16,0,5,5,Siemens,C15,10
gas_flows_1,2023-01-16,2,Gases del Caribe,CE8641,JOBO,"Sahagún, COR",Madrugada,40,true,,CTG,"Cartagena, BOL",46,,554,Troncal principal,0,5,22,8,3,Solar Turbines,Mars 100,4
gas_flows_1,2023-01-17,3,Gases de la Guajira,CE7633,JOBO,"Sahagún, COR",Noche,-1,false,,BAQ,"Barranquilla, ATL",36,,154,ductos varios,14,4,0,16,0,Siemens,Taurus 60,29
gas_flows_1,2023-01-18,4,Gasnacer,CE9333,JOBO,"Sahagún, COR",Tarde,3,true,,STM,"Santa Marta, MAG",65,,241,regional sur,16,3,23,3,0,Siemens,Taurus 60,14
gas_flows_1,2023-01-19,5,Surtigas,CE5455,JOBO,"Sahagún, COR",Noche,34,true,,SIN,"Sincelejo, SUC",85,,132,Troncal principal,15,7,22,11,3,Caterpillar,Centaur 40,24
gas_flows_1,2023-01-20,6,Efigas,CE2128,BALLE,"Manaure, LAG",Mañana,-4,false,,,"Sincelejo, SUC",61,,357,Troncal principal,4,12,15,11,0,GE Oil & Gas,Centaur 40,26
gas_flows_1,2023-01-21,7,Efigas,CE9136,JOBO,"Sahagún, COR",Mañana,-6,false,,VDP,"Valledupar, CES",18,,422,Ramal industrial,6,5,0,0,1,Siemens,Mars 100,18
gas_flows_1,2023-01-22,1,Gases del Caribe,CE6263,BALLE,"Manaure, LAG",Madrugada,13,true,,VDP,"Valledupar, CES",59,,519,Troncal principal,2,36,4,4,0,Solar Turbines,Mars 100,28
gas_flows_1,2023-01-23,2,Surtigas,CE8651,JOBO,"Sahagún, COR",Noche,52,true,,STM,"Santa Marta, MAG",62,,383,troncal norte,8,2,10,18,9,Caterpillar,Taurus 60,18
gas_flows_1,2023-01-24,3,Surtigas,CE3164,JOBO,"Sahagún, COR",Noche,14,true,,MTR,"Montería, COR",45,,118,troncal norte,7,1,2,16,13,GE Oil & Gas,C15,19
gas_flows_1,2023-01-25,4,Gases del Caribe,CE7015,JOBO,"Sahagún, COR",Noche,24,true,,BAQ,"Barranquilla, ATL",33,,62,Regional Sabanas,1,10,29,1,0,Siemens,Taurus 60,2
gas_flows_1,2023-01-26,5,Efigas,CE7460,BALLE,"Manaure, LAG",Madrugada,4,true,,RIO,"Riohacha, LAG",26,,92,ductos varios,15,7,1,6,0,Caterpillar,Taurus 60,13
gas_flows_1,2023-01-27,6,Surtigas,CE1,JOBO,"Sahagún, COR",Tarde,62,true,,MTR,"Montería, COR",85,,630,ductos varios,21,0,3,20,22,Siemens,Centaur 40,29
gas_flows_1,2023-01-28,7,Efigas,CE4918,JOBO,"Sahagún, COR",Noche,-4,false,,BAQ,"Barranquilla, ATL",65,,202,Ramal industrial,13,5,5,18,4,Caterpillar,Centaur 40,12
gas_flows_1,2023-01-29,1,Gases del Caribe,CE2253,JOBO,"Sahagún, COR",Tarde,6,true,,MAM,"Cartagena, BOL",29,,415,ductos varios,10,4,8,17,0,Solar Turbines,Centaur 40,21
gas_flows_1,2023-01-30,2,Gases de la Guajira,CE6706,JOBO,"Sahagún, COR",Madrugada,18,true,,BAQ,"Barranquilla, ATL",42,,452,Troncal principal,9,17,10,16,5,Siemens,Centaur 40,22
gas_flows_1,2023-01-31,3,Gases de la Guajira,CE2620,BALLE,"Manaure, LAG",Madrugada,55,true,,RIO,"Riohacha, LAG",41,,148,Troncal principal,17,1,2,16,3,Solar Turbines,Mars 100,1
gas_flows_2,2023-02-01,4,Efigas,CE8746,JOBO,"Sahagún, COR",Noche,2,true,,VDP,"Valledupar, CES",41,,91,regional sur,6,5,1,25,9,Caterpillar,Mars 100,27
gas_flows_2,2023-02-02,5,Surtigas,CE3967,JOBO,"Sahagún, COR",Madrugada,49,true,,MTR,"Montería, COR",32,,340,regional sur,2,0,11,7,8,Siemens,Mars 100,22
gas_flows_2,2023-02-03,6,Gases del Caribe,CE6199,BALLE,"Manaure, LAG",Tarde,-12,false,,CTG,"Cartagena, BOL",63,,385,Troncal principal,5,1,22,4,17,Siemens,C15,22
gas_flows_2,2023-02-04,7,Gases de la Guajira,CE1901,BALLE,"Manaure, LAG",Noche,-8,false,,STM,"Santa Marta, MAG",70,,195,troncal norte,0,29,18,3,15,Solar Turbines,Mars 100,8
gas_flows_2,2023-02-05,1,Gases de la Guajira,CE9675,BALLE,"Manaure, LAG",Tarde,51,true,,SIN,"Sincelejo, SUC",73,,217,ductos varios,33,8,31,5,21,Solar Turbines,Taurus 60,12
gas_flows_2,2023-02-06,2,Gases del Caribe,CE7259,BALLE,"Manaure, LAG",Noche,23,true,,BAQ,"Barranquilla, ATL",49,,317,ductos varios,0,9,12,2,13,Caterpillar,Taurus 60,10
gas_flows_2,2023-02-07,3,Efigas,CE8231,JOBO,"Sahagún, COR",Tarde,-4,false,,CTG,"Cartagena, BOL",13,,476,regional sur,4,0,1,1,8,Caterpillar,Centaur 40,8
gas_flows_2,2023-02-08,4,Gases de la Guajira,CE4055,JOBO,"Sahagún, COR",Madrugada,9,true,,RIO,"Riohacha, LAG",92,,394,regional sur,29,5,15,13,6,Caterpillar,Mars 100,6
gas_flows_2,2023-02-09,5,Gases de la Guajira,CE6752,JOBO,"Sahagún, COR",Noche,23,true,,RIO,"Riohacha, LAG",64,,206,regional sur,8,10,18,2,15,Caterpillar,Centaur 40,24
gas_flows_2,2023-02-10,6,Gasnacer,CE2870,BALLE,"Manaure, LAG",Tarde,38,true,,BAQ,"Barranquilla, ATL",97,,135,ductos varios,0,24,0,25,24,Solar Turbines,Centaur 40,3
gas_flows_2,2023-02-11,7,Surtigas,CE1775,BALLE,"Manaure, LAG",Mañana,28,true,,RIO,"Riohacha, LAG",31,,402,Regional Sabanas,0,9,5,3,19,GE Oil & Gas,C15,18
