fuente,fecha_despacho,dia_semana,remitente,id_unidad,interrumpido,reenrutado,nodo_entrada,ciudad_entrada,franja_horaria,desbalance_entrada,marca_desbalance_entrada,tipo_desbalance_entrada,nodo_salida,ciudad_salida,desbalance_salida,tipo_desbalance_salida,duracion_transito,tipo_tramo,desbalance_operacional,desbalance_clima,desbalance_sistema,desbalance_integridad,desbalance_aguas_arriba
gas_interrupted_1,2023-01-01,1,Efigas,CE4339,false,true,JOBO,"Sahagún, COR",Tarde,-7,false,,SIN,"Sincelejo, SUC",59,,384,troncal norte,10,23,8,4,2
gas_interrupted_1,2023-01-02,2,Efigas,CE4807,true,false,BALLE,"Manaure, LAG",Noche,-9,false,,SIN,"Sincelejo, SUC",32,,306,troncal norte,13,8,3,12,2
gas_interrupted_1,2023-01-03,3,Surtigas,CE4453,true,false,JOBO,"Sahagún, COR",Noche,39,true,,STM,"Santa Marta, MAG",52,,620,Ramal industrial,29,2,0,2,10
gas_interrupted_1,2023-01-04,4,Gases del Caribe,CE9689,true,false,BALLE,"Manaure, LAG",Mañana,-5,false,,RIO,"Riohacha, LAG",14,,253,Ramal industrial,9,3,7,0,0
gas_interrupted_1,2023-01-05,5,Gases de la Guajira,CE6617,true,true,BALLE,"Manaure, LAG",Madrugada,6,true,,CTG,"Cartagena, BOL",26,,307,RAMAL urbano,19,2,0,2,0
gas_interrupted_1,2023-01-06,6,Surtigas,CE8385,true,false,BALLE,"Manaure, LAG",Madrugada,34,true,,MAM,"Cartagena, BOL",38,,293,troncal norte,18,9,5,13,6
gas_interrupted_1,2023-01-07,7,Gases de la Guajira,CE7087,true,false,JOBO,"Sahagún, COR",Tarde,-3,false,,MTR,"Montería, COR",60,,90,troncal norte,3,6,11,0,20
gas_interrupted_1,2023-01-08,1,Efigas,CE6161,false,false,JOBO,"Sahagún, COR",Tarde,32,true,,MTR,"Montería, COR",34,,513,Regional Sabanas,37,0,0,0,10
gas_interrupted_1,2023-01-09,2,Gases del Caribe,CE9384,false,false,BALLE,"Manaure, LAG",Tarde,36,true,,BAQ,"Barranquilla, ATL",34,,526,Troncal principal,3,0,6,29,1
gas_interrupted_1,2023-01-10,3,Gases de la Guajira,CE0779,false,false,BALLE,"Manaure, LAG",Noche,62,true,,BAQ,"Barranquilla, ATL",64,,479,troncal norte,19,24,2,18,21
gas_interrupted_1,2023-01-11,4,Gases del Caribe,CE5535,false,false,BALLE,"Manaure, LAG",Tarde,-6,false,,CTG,"Cartagena, BOL",85,,454,Regional Sabanas,2,20,4,13,19
gas_interrupted_1,2023-01-12,5,Gasnacer,CE6737,true,true,JOBO,"Sahagún, COR",Noche,12,true,,MAM,"Cartagena, BOL",33,,422,regional sur,1,18,15,0,4
gas_interrupted_1,2023-01-13,6,Gasnacer,CE4470,false,true,BALLE,"Manaure, LAG",Madrugada,35,true,,CTG,"Cartagena, BOL",37,,358,Troncal principal,26,9,2,8,4
gas_interrupted_1,2023-01-14,7,Gasnacer,CE3896,true,false,JOBO,"Sahagún, COR",Tarde,0,false,,BAQ,"Barranquilla, ATL",29,,446,RAMAL urbano,0,3,0,22,7
gas_interrupted_1,2023-01-15,1,Efigas,CE7521,false,false,JOBO,"Sahagún, COR",Madrugada,-2,false,,BAQ,"Barranquilla, ATL",42,,184,troncal norte,18,1,1,18,0
gas_interrupted_1,2023-01-16,2,Gasnacer,CE1,true,true,BALLE,"Manaure, LAG",Tarde,-10,false,,CTG,"Cartagena, BOL",71,,295,Ramal industrial,13,6,23,3,34
gas_interrupted_1,2023-01-17,3,Efigas,CE5383,true,false,BALLE,"Manaure, LAG",Noche,23,true,,SIN,"Sincelejo, SUC",53,,614,Troncal principal,13,15,7,2,4
gas_interrupted_1,2023-01-18,4,Gases del Caribe,CE3208,true,false,BALLE,"Manaure, LAG",Madrugada,18,true,,SIN,"Sincelejo, SUC",109,,297,Troncal principal,0,24,12,18,28
gas_interrupted_1,2023-01-19,5,Gases de la Guajira,CE3230,false,false,JOBO,"Sahagún, COR",Tarde,18,true,,SIN,"Sincelejo, SUC",36,,520,RAMAL urbano,10,4,24,2,0
gas_interrupted_1,2023-01-20,6,Gasnacer,CE7753,false,false,BALLE,"Manaure, LAG",Tarde,58,true,,RIO,"Riohacha, LAG",50,,369,troncal norte,22,5,5,9,10
gas_interrupted_1,2023-01-21,7,Efigas,CE8702,true,false,JOBO,"Sahagún, COR",Mañana,30,true,,BAQ,"Barranquilla, ATL",45,,523,regional sur,7,23,5,11,11
